name,age,gender,admission_test_score,high_school_percentage,city,admission_status
Shehroz,24,Female,50.0,68.9,Quetta,Rejected
Waqar,21,Female,99.0,60.73,Karachi,Rejected
Bushra,17,Male,89.0,77.545,Islamabad,Accepted
Aliya,17,Male,55.0,85.29,Karachi,Rejected
Bilal,20,Male,65.0,61.13,Lahore,Rejected
Murtaza,23,Female,79.0,77.545,Islamabad,Accepted
Asad,18,Male,79.0,97.31,Multan,Accepted
Rabia,20,Female,82.0,55.67,Lahore,Accepted
Rohail,17,Male,64.0,77.545,Karachi,Accepted
Kamran,18,Male,53.0,98.98,Multan,Rejected
Shafiq,17,Male,78.0,77.545,Quetta,Rejected
Nashit,18,Male,89.0,77.545,Lahore,Accepted
Shehroz,19,Male,66.0,88.17,Quetta,Rejected
Ahmed,21,Male,62.0,79.03,Karachi,Accepted
Fareeha,22,Male,86.0,50.77,Islamabad,Rejected
Saim,19,Male,84.0,97.19,Peshawar,Rejected
Mahnoor,20,Male,61.0,74.08,Islamabad,Rejected
Uzma,17,Female,96.0,93.34,Karachi,Rejected
Maryam,19,Female,74.0,70.26,Lahore,Accepted
Shehroz,19,Male,84.0,77.545,Islamabad,Rejected
Waqar,22,Male,77.0,94.02,Peshawar,Rejected
Fatima,20,Female,79.0,73.23,Quetta,Rejected
Aliya,20,Male,79.0,54.59,Quetta,Rejected
Shehroz,21,Male,82.0,97.21,Karachi,Rejected
Shayan,18,Male,79.0,77.545,Lahore,Rejected
Imran,20,Female,76.0,69.27,Peshawar,Rejected
Anum,20,Female,96.0,62.44,Quetta,Rejected
Bushra,17,Male,89.0,78.57,Islamabad,Accepted
Laiba,22,Female,57.0,77.545,Rawalpindi,Accepted
Ali,17,Male,74.0,56.38,Rawalpindi,Rejected
Rehan,19,Female,79.0,61.91,Quetta,Rejected
Zara,24,Female,65.0,91.14,Multan,Rejected
Fatima,24,Female,66.0,74.8,Peshawar,Rejected
Shayan,24,Male,58.0,85.41,Multan,Rejected
Feroze,23,Female,51.0,92.36,Quetta,Accepted
Ayesha,24,Male,94.0,98.43,Multan,Rejected
Lubna,21,Female,89.0,82.57,Multan,Rejected
Ali,17,Female,74.0,56.38,Rawalpindi,Rejected
Aliya,23,Male,50.0,85.25,Rawalpindi,Accepted
Rohail,23,Female,78.0,75.05,Quetta,Rejected
Feroze,22,Female,50.0,88.36,Quetta,Rejected
Wajeeha,21,Male,63.0,74.83,Islamabad,Accepted
Waqar,21,Female,99.0,60.73,Karachi,Accepted
Maham,19,Female,52.0,78.67,Multan,Accepted
Qasim,17,Female,95.0,68.89,Quetta,Rejected
Mehwish,24,Female,84.0,94.33,Multan,Accepted
Maryam,19,Female,74.0,77.545,Lahore,Accepted
Rohail,23,Female,79.0,75.05,Quetta,Accepted
Zara,18,Female,68.0,65.57,Karachi,Rejected
Shehroz,20,Female,61.0,69.48,Quetta,Rejected
Fatima,20,Male,73.0,62.5,Karachi,Rejected
Afshan,23,Female,98.0,76.97,Quetta,Rejected
Shehroz,22,Female,72.0,97.84,Lahore,Rejected
Sara,19,Male,68.0,93.16,Multan,Accepted
Zara,18,Male,52.0,91.02,Multan,Accepted
Hafsa,23,Female,79.0,52.39,Quetta,Accepted
Adeel,20,Female,70.0,93.36,Lahore,Accepted
Bilal,23,Female,97.0,70.9,Peshawar,Rejected
Rohail,19,Female,54.0,52.79,Quetta,Accepted
Hamza,22,Male,99.0,86.58,Multan,Accepted
Fahad,23,Male,93.0,90.35,Peshawar,Accepted
Farhan,20,Female,75.0,79.59,Rawalpindi,Accepted
Shoaib,23,Male,97.0,54.71,Karachi,Rejected
Shehroz,17,Female,71.0,54.16,Islamabad,Rejected
Hassan,24,Female,79.0,75.67,Quetta,Rejected
Khurram,17,Male,79.0,0.0,Rawalpindi,Rejected
Maryam,22,Female,79.0,69.83,Karachi,Rejected
Tuba,17,Female,75.0,78.43,Peshawar,Accepted
Hafsa,17,Male,73.0,63.7,Rawalpindi,Accepted
Laiba,20,Male,77.0,52.67,Islamabad,Rejected
Shehroz,21,Male,95.0,84.2,Islamabad,Rejected
Shafiq,18,Female,80.0,81.3,Quetta,Accepted
Afshan,23,Female,98.0,77.545,Peshawar,Rejected
Kamran,21,Male,73.0,96.67,Peshawar,Rejected
Sajjad,20,Female,90.0,63.04,Quetta,Accepted
Tuba,18,Female,89.0,71.3,Karachi,Accepted
Kashif,20,Female,91.0,91.03,Karachi,Accepted
Muneera,19,Female,81.0,67.75,Karachi,Rejected
Mehwish,18,Female,72.0,67.51,Quetta,Accepted
Lubna,20,Female,89.0,82.57,Multan,Rejected
Muzammil,24,Female,97.0,62.68,Lahore,Accepted
Muzammil,20,Male,96.0,51.95,Peshawar,Rejected
Maryam,20,Female,99.0,94.59,Islamabad,Accepted
Maham,22,Female,88.0,98.38,Peshawar,Rejected
Uzma,22,Male,69.0,83.99,Quetta,Accepted
Laiba,20,Female,81.0,81.82,Rawalpindi,Accepted
Shehroz,20,Male,66.0,79.07,Rawalpindi,Rejected
Maryam,17,Male,78.0,77.4,Quetta,Accepted
Umar,22,Male,79.0,77.69,Quetta,Rejected
Shehroz,20,Female,86.0,89.06,Karachi,Accepted
Rehan,22,Male,51.0,67.03,Lahore,Rejected
Farzana,22,Male,82.0,78.3,Multan,Accepted
Nida,18,Female,84.0,91.92,Quetta,Rejected
Muneera,19,Female,79.0,67.75,Karachi,Rejected
Rohail,20,Female,72.0,66.83,Multan,Rejected
Shehroz,23,Female,82.0,83.86,Karachi,Rejected
Imran,19,Female,72.0,64.88,Multan,Accepted
Farhan,22,Female,65.0,76.72,Multan,Rejected
Shehroz,24,Male,72.0,90.05,Karachi,Accepted
Asma,22,Female,81.0,68.86,Islamabad,Accepted
Tariq,19,Female,96.0,40.7,Rawalpindi,Rejected
Sara,22,Female,95.0,60.33,Islamabad,Rejected
Junaid,17,Male,56.0,93.36,Karachi,Rejected
Mehwish,21,Female,91.0,57.33,Rawalpindi,Accepted
Zunaira,20,Female,98.0,54.59,Quetta,Accepted
Hania,24,Female,83.0,97.93,Quetta,Rejected
Adeel,24,Male,71.0,74.65,Lahore,Accepted
Tariq,17,Female,82.0,67.09,Peshawar,Accepted
Zunaira,20,Female,84.0,58.77,Quetta,Rejected
Qasim,17,Female,92.0,51.96,Lahore,Accepted
Maham,23,Male,94.0,87.05,Karachi,Rejected
Aqsa,23,Female,79.0,86.5,Quetta,Accepted
Daniyal,24,Female,77.0,67.32,Quetta,Rejected
